40 1600
19 25 16
25 22 5
0 15 9
0 30 12
4 15 13
32 19 13
6 36 4
38 18 3
6 24 14
0 9 15
8 30 16
35 2 3
28 0 12
18 0 3
15 18 6
21 13 9
14 19 12
9 4 5
19 27 5
8 29 15
33 1 8
38 39 15
1 38 4
26 30 14
2 24 14
38 8 3
36 9 15
1 22 3
20 26 14
14 30 1
24 29 3
38 12 15
13 14 12
20 34 7
11 23 5
10 7 16
13 1 6
13 23 14
32 23 2
19 8 6
10 27 12
14 15 9
32 6 6
26 21 16
37 35 11
21 25 2
23 15 14
22 28 10
10 15 9
35 29 13
14 27 7
34 28 5
35 29 13
6 27 14
18 36 13
38 14 8
10 33 1
16 32 4
0 5 13
31 3 11
15 39 7
36 19 16
23 15 10
18 19 4
12 4 11
6 34 16
37 21 10
28 14 2
30 38 15
21 5 12
34 11 8
2 12 10
36 33 5
34 24 4
18 9 13
22 24 15
27 12 6
36 2 1
15 2 10
4 0 1
13 10 7
24 29 7
14 31 15
10 37 3
34 29 14
0 10 13
24 35 6
21 19 12
11 39 2
3 24 13
32 13 6
31 0 3
12 9 14
32 2 12
1 19 14
6 37 12
9 3 13
31 13 7
26 39 14
27 34 13
32 27 14
16 20 7
2 39 16
23 34 14
37 1 6
3 7 15
30 21 3
26 9 14
30 33 12
4 8 1
23 8 12
21 8 13
17 22 1
19 30 8
36 14 6
24 16 5
4 10 14
14 4 16
21 1 13
22 3 13
18 20 11
10 2 2
10 6 6
24 6 2
32 25 10
25 21 3
34 10 1
12 2 6
20 39 10
37 32 3
21 6 10
4 7 9
11 26 16
18 2 15
6 38 8
8 1 16
11 21 10
32 4 5
36 2 3
0 7 15
22 15 10
0 32 16
38 11 11
39 4 4
29 39 10
29 26 5
31 18 4
34 30 11
12 9 8
32 33 9
22 11 5
20 29 16
12 4 16
28 1 4
21 22 8
10 30 10
10 39 5
22 14 4
35 17 1
21 39 9
8 7 16
20 11 9
28 6 9
18 29 16
31 38 5
20 5 1
8 22 3
5 17 9
7 36 12
24 27 3
32 19 5
14 32 13
19 1 3
21 26 9
5 10 12
27 24 8
27 6 7
25 30 3
34 5 4
29 38 15
33 25 4
12 11 2
26 29 15
34 0 6
13 3 9
2 8 3
6 0 16
20 3 13
2 13 10
39 2 11
17 31 1
15 8 1
20 15 10
23 14 7
13 26 3
25 19 8
20 31 9
10 31 4
34 11 14
8 37 3
11 28 10
11 0 3
12 15 14
39 26 7
17 3 12
9 34 14
33 21 1
27 21 7
33 30 10
18 32 12
9 14 13
11 14 14
24 8 4
9 38 11
6 2 8
3 19 12
13 28 8
5 30 10
38 22 2
9 8 8
14 34 12
32 7 16
30 1 2
8 34 14
16 36 15
4 27 15
2 21 13
37 6 2
34 36 3
23 11 5
1 4 14
35 32 12
4 37 12
20 14 8
36 33 12
0 26 13
20 30 3
2 11 10
6 21 6
39 36 15
33 23 2
7 28 3
14 9 9
39 36 9
15 39 1
18 17 13
20 13 12
20 9 15
2 19 9
5 6 15
6 3 12
6 5 6
37 14 6
2 23 1
33 26 6
1 10 9
4 17 8
15 27 10
36 16 4
17 10 13
8 32 15
12 33 4
28 3 3
38 29 10
32 23 2
30 8 8
9 3 7
38 12 2
32 7 16
32 24 15
22 27 11
32 23 14
35 7 10
8 37 1
34 23 1
7 16 1
11 24 11
19 38 9
2 14 5
31 32 11
18 30 4
10 19 11
32 17 6
16 17 4
38 9 14
3 19 6
39 16 5
16 11 3
10 36 8
30 5 14
7 8 9
6 20 6
25 4 8
31 30 1
16 18 12
9 17 14
6 29 14
10 11 8
16 19 14
31 32 14
17 4 5
2 37 1
36 18 16
32 28 12
21 15 8
9 11 6
34 33 7
33 11 5
17 2 16
31 19 11
0 16 8
22 25 15
37 35 9
35 16 4
39 16 14
13 18 6
8 12 9
27 36 10
9 31 5
6 32 12
29 21 14
23 0 15
9 39 8
0 1 8
33 10 9
5 7 7
33 0 13
4 39 13
27 7 13
24 20 6
22 2 16
9 30 4
12 1 13
28 12 4
8 11 8
36 3 3
15 11 15
28 27 15
29 1 9
33 2 5
15 14 16
30 3 6
0 6 13
3 20 4
6 19 15
30 8 7
33 36 8
38 20 10
37 23 9
26 13 10
7 9 9
4 7 3
16 12 12
28 30 14
2 19 13
36 39 4
22 3 13
22 1 4
2 34 3
25 26 14
7 19 6
13 34 3
22 5 7
24 14 3
19 38 12
17 30 15
29 17 16
31 24 11
32 38 8
11 32 9
20 2 15
0 11 15
4 13 6
30 6 9
21 14 9
3 10 4
19 36 9
26 3 16
17 23 12
32 24 16
31 20 16
16 0 6
31 34 4
32 26 9
19 16 15
29 15 2
27 31 6
0 36 12
36 37 14
0 6 7
4 26 1
20 37 12
28 12 9
19 15 6
30 12 9
9 5 14
31 30 5
12 25 11
24 11 7
20 4 9
36 8 10
17 24 16
16 36 6
39 32 9
14 18 2
14 26 10
3 35 6
36 37 4
22 27 7
14 25 2
3 18 5
13 30 7
33 9 7
32 1 16
16 11 7
10 23 6
23 25 3
36 38 6
6 37 1
4 8 6
30 32 10
33 19 2
21 30 12
35 15 7
38 33 3
18 38 3
23 1 11
37 36 15
39 19 14
18 6 1
11 24 2
30 36 1
25 29 14
6 39 6
27 18 15
23 32 1
17 20 3
7 18 15
32 5 11
30 15 7
7 26 15
1 38 4
10 11 13
28 26 2
14 6 14
9 1 8
12 21 11
10 1 13
32 0 14
6 37 5
26 5 5
15 8 15
3 11 14
6 39 2
38 4 6
10 15 16
8 10 3
26 18 13
27 34 15
31 21 1
30 9 15
26 12 6
8 35 7
11 19 4
39 24 2
0 21 9
37 4 5
7 35 5
27 12 13
24 36 14
12 18 8
11 38 14
19 17 7
23 6 6
31 34 13
13 4 5
8 39 12
23 4 4
28 14 6
11 36 8
2 26 11
4 1 1
25 7 11
11 33 1
26 34 11
19 21 9
39 4 9
30 7 14
11 21 7
0 14 7
5 4 12
27 7 12
3 37 8
16 21 7
16 39 1
37 27 9
34 23 6
24 28 1
39 33 13
22 10 16
1 26 12
24 38 11
10 23 2
14 26 5
4 16 12
25 0 7
7 3 12
15 22 1
22 34 9
30 34 12
21 28 3
25 36 8
3 39 7
11 39 6
20 10 12
27 13 8
31 37 10
26 9 8
15 34 11
35 15 4
5 32 1
2 15 5
21 11 8
27 29 14
21 35 16
24 14 2
32 7 8
15 23 15
14 32 10
17 7 14
2 26 13
19 0 12
34 39 4
18 3 5
31 27 1
2 10 15
25 34 8
29 3 13
3 30 14
1 2 6
10 32 16
27 10 5
33 12 13
10 24 13
38 20 4
19 22 13
17 26 11
28 9 5
27 38 7
25 3 2
36 32 15
29 24 7
17 34 6
16 8 14
31 39 14
17 6 12
30 35 15
26 20 11
21 18 12
35 3 3
32 1 16
27 35 9
4 6 3
0 25 16
0 16 9
15 7 14
34 13 14
33 4 11
6 22 14
7 3 1
6 29 11
7 14 2
22 34 1
33 3 4
25 13 1
15 17 14
11 17 3
24 31 12
10 20 11
35 9 9
27 12 11
2 22 5
1 33 15
30 27 12
0 4 3
35 38 11
39 12 9
38 17 3
27 33 6
9 6 6
13 4 7
22 6 15
23 10 15
26 7 7
17 33 10
31 5 1
34 5 1
36 39 11
35 12 8
12 31 7
37 29 6
16 15 5
21 14 13
3 22 6
14 25 1
12 7 9
20 22 9
28 24 10
24 9 11
34 16 6
20 25 5
4 24 13
39 20 12
31 35 12
34 38 2
10 31 4
22 7 15
27 10 15
6 4 13
13 24 2
19 18 7
26 27 12
37 27 7
27 15 7
24 25 16
7 32 3
16 6 4
33 36 4
14 37 9
16 27 8
3 34 10
9 10 2
11 1 16
30 29 9
15 20 12
27 23 12
31 26 3
5 23 11
6 17 11
23 31 10
7 0 1
28 32 14
22 37 5
37 30 5
11 23 8
8 15 9
30 0 12
27 5 1
17 27 2
36 17 2
35 29 14
39 5 16
11 34 12
15 20 8
25 6 5
39 30 7
25 20 1
12 17 11
26 18 13
7 0 3
31 2 7
22 17 6
13 7 13
3 4 3
18 17 2
21 20 15
21 28 9
7 26 2
5 1 16
30 1 10
9 14 3
15 36 14
25 39 16
29 33 2
33 14 6
12 1 15
4 16 15
0 36 5
21 6 4
15 14 1
27 0 2
21 3 13
24 22 1
15 16 8
27 39 1
32 2 16
21 12 8
7 25 9
0 38 14
9 28 6
0 18 11
37 29 3
17 39 6
11 9 12
15 26 10
22 35 16
5 39 12
21 14 13
27 22 1
27 33 6
25 36 2
12 13 9
21 28 6
35 25 5
13 15 16
32 9 3
30 9 5
3 29 5
8 9 2
26 14 1
4 11 15
21 1 4
2 33 6
5 28 9
27 30 5
37 38 14
14 24 13
33 7 9
25 8 3
22 7 9
10 12 16
18 23 6
12 18 1
32 13 13
19 14 11
25 27 12
3 17 7
29 12 13
36 22 15
25 15 10
26 8 1
32 31 11
15 21 2
7 18 10
16 26 1
15 38 2
1 25 1
6 36 3
38 17 1
14 35 12
29 12 14
24 36 7
9 26 9
3 5 6
31 4 2
20 35 16
33 22 14
31 10 5
23 20 9
34 14 4
25 15 2
12 38 5
20 31 13
12 28 12
28 15 5
7 24 14
0 8 13
22 19 1
2 8 6
36 26 9
19 10 3
10 14 7
19 26 13
34 29 15
10 17 3
14 0 13
29 21 15
13 34 11
28 17 10
24 34 7
2 27 4
8 23 13
34 33 15
20 6 9
21 29 6
15 6 16
30 28 3
16 39 6
8 15 2
3 39 10
27 4 5
28 29 13
10 26 11
32 8 9
5 2 1
1 31 10
7 5 15
28 23 8
31 35 11
30 15 16
32 39 15
26 6 6
36 35 15
0 24 6
7 38 15
30 39 1
27 20 5
18 7 9
9 1 14
21 33 14
12 35 16
36 25 4
35 5 11
17 34 1
0 29 13
39 31 1
39 13 13
13 38 3
2 9 4
3 0 11
9 5 14
37 14 13
6 4 12
1 21 1
26 35 16
24 14 2
6 22 13
28 17 4
14 32 7
6 7 15
15 26 1
17 36 7
32 15 15
32 14 5
0 27 11
28 5 13
0 34 3
19 34 9
25 11 3
26 37 8
23 5 4
36 33 1
22 29 11
24 3 1
2 0 12
29 7 15
30 35 7
22 24 11
16 2 12
27 31 5
27 22 2
32 10 1
20 15 6
38 29 14
5 10 14
34 26 6
17 25 5
11 2 6
10 25 5
37 7 6
16 37 2
3 32 7
30 31 14
26 35 9
34 7 7
35 0 14
31 9 2
12 26 9
31 21 14
9 25 13
9 29 15
11 8 11
4 38 11
22 25 11
13 8 9
39 13 15
38 15 12
5 27 9
25 19 5
18 0 13
40 1600
4 31 14
5 14 5
28 38 11
38 15 10
31 16 1
16 7 16
20 30 14
19 1 11
18 24 3
29 12 4
7 26 16
15 19 14
35 5 6
12 3 2
31 4 8
25 16 2
33 25 16
10 27 10
33 21 7
32 7 11
34 2 14
4 29 14
17 6 4
30 14 7
27 32 11
25 9 7
8 2 1
32 38 10
20 38 16
25 19 12
8 26 11
3 27 16
21 14 13
0 8 15
30 14 2
27 33 13
21 28 1
34 0 1
5 19 12
11 24 2
6 15 9
18 6 7
33 30 3
23 13 4
19 7 6
31 32 6
32 31 8
36 37 10
32 13 4
15 30 9
34 15 8
31 13 14
22 21 10
39 23 16
32 23 6
28 22 1
28 21 7
29 7 9
31 26 11
32 13 16
36 31 6
10 6 7
32 0 4
18 20 7
28 26 2
26 0 11
35 37 10
30 29 12
22 25 1
16 32 14
5 22 1
18 5 8
16 3 4
11 19 8
3 8 12
9 8 3
28 14 7
28 35 15
22 7 7
16 3 4
23 38 11
15 10 11
39 15 6
13 23 9
10 12 7
21 11 14
2 4 8
26 17 5
23 0 5
37 20 16
3 19 9
22 8 14
6 5 6
39 35 14
31 34 6
36 6 3
37 39 8
10 22 16
15 39 8
29 3 4
15 32 16
0 33 3
32 21 8
9 18 13
2 5 14
16 12 3
23 20 11
18 10 2
15 31 12
3 20 5
33 17 12
9 24 15
26 20 14
13 4 13
34 7 11
0 11 8
9 23 3
4 36 7
17 13 6
25 7 5
32 39 10
7 30 2
31 3 13
22 33 16
4 26 5
8 16 16
13 6 13
8 36 5
5 6 5
24 26 16
27 16 9
3 35 7
20 4 9
22 29 4
38 1 9
8 20 2
31 18 10
22 28 10
16 11 1
22 20 12
2 21 2
34 27 4
34 8 3
1 5 9
30 36 4
19 29 4
12 33 4
20 6 13
33 28 8
24 27 6
10 25 15
14 19 5
8 35 10
0 25 14
16 30 1
29 25 13
28 20 10
30 5 8
29 1 15
19 14 13
1 24 11
13 5 6
3 29 16
9 39 9
19 26 12
29 1 8
35 38 1
20 3 16
3 21 16
38 25 9
35 31 14
14 26 12
16 23 8
5 16 4
17 22 12
21 11 15
26 39 4
11 8 12
12 18 13
30 36 10
34 9 4
0 36 5
23 12 11
24 6 10
32 36 11
0 19 10
15 37 13
25 10 12
39 34 7
13 10 14
34 4 9
2 25 11
17 7 15
30 18 12
9 29 3
29 36 2
13 15 16
26 3 8
12 16 13
12 20 6
5 38 9
26 4 6
37 31 2
22 19 10
33 23 14
30 4 12
8 24 15
33 11 7
1 25 8
8 31 8
5 10 12
1 39 1
28 7 8
39 28 12
0 9 15
11 20 1
34 23 11
11 24 11
30 36 4
32 20 14
24 27 3
11 21 2
4 34 6
8 12 15
30 28 12
14 1 6
14 4 14
32 10 9
30 11 11
7 10 14
10 1 9
8 22 7
13 35 2
2 32 9
19 14 11
14 36 13
0 22 14
34 30 14
17 21 11
33 30 3
30 23 6
6 34 13
23 21 12
34 1 12
16 18 1
12 25 14
31 12 7
19 23 12
27 5 10
39 35 1
34 6 16
9 13 15
38 9 7
32 19 2
2 25 10
34 33 8
25 37 4
39 5 8
37 13 1
15 3 10
1 0 9
6 17 2
28 1 14
3 4 4
5 3 11
7 24 3
29 18 2
11 22 5
18 38 2
25 24 10
8 38 4
19 20 13
34 27 6
8 12 10
34 26 4
1 3 14
19 12 5
14 10 3
1 15 4
22 19 16
35 14 12
30 19 10
35 7 9
5 14 15
11 26 3
33 38 16
16 34 10
34 38 15
32 22 12
11 39 12
17 30 16
39 19 16
3 13 11
0 38 2
33 3 11
18 17 14
18 13 10
38 5 6
9 1 2
14 0 12
1 25 8
27 18 12
21 38 3
39 23 1
18 23 7
39 26 15
20 39 15
19 25 14
3 5 13
30 8 2
25 31 15
12 20 12
34 2 1
21 4 6
23 29 9
38 14 1
24 9 3
2 20 4
25 4 10
23 9 5
23 39 11
11 5 12
20 29 10
30 25 6
18 21 8
22 16 3
35 11 5
32 33 9
31 9 5
26 35 3
14 9 16
16 19 4
31 24 14
5 13 6
21 27 16
27 10 9
34 31 10
4 8 9
31 37 8
28 10 8
0 15 12
36 24 16
27 30 4
34 32 12
33 35 8
21 18 6
16 25 1
27 25 1
6 31 16
2 0 5
38 12 7
5 18 16
4 1 2
8 26 7
34 10 14
36 0 1
29 31 16
7 15 16
30 16 5
4 39 15
32 15 6
8 22 9
35 24 9
26 27 12
21 37 13
22 12 11
8 22 2
27 38 10
39 30 16
7 6 4
38 1 16
33 21 6
38 17 7
15 0 12
9 21 2
39 27 9
7 17 15
25 0 9
35 1 12
14 13 8
7 2 5
38 14 6
4 22 6
31 20 4
22 21 12
25 37 12
10 39 15
16 17 12
3 35 5
39 25 4
18 30 7
0 28 11
13 29 12
1 15 7
16 1 16
19 36 2
5 7 6
7 28 13
18 8 6
33 22 2
4 35 15
39 33 1
12 27 8
10 31 1
21 7 8
22 6 1
29 32 13
13 26 5
7 10 4
8 14 16
33 27 16
2 35 3
23 25 4
2 10 1
32 8 8
19 10 9
16 14 10
7 37 9
15 27 2
6 37 15
31 10 1
2 1 2
26 9 4
28 22 16
39 6 14
21 30 11
10 14 3
24 2 15
35 33 6
3 25 9
1 24 7
2 13 1
0 14 4
20 37 10
34 20 12
25 3 6
21 17 11
9 10 7
35 15 2
23 21 9
28 9 13
2 1 11
13 1 15
10 4 2
26 28 9
31 17 15
29 25 6
35 37 5
18 38 10
19 5 9
38 11 8
12 25 11
23 25 6
29 17 3
21 0 7
1 29 12
20 0 12
30 39 12
1 32 16
15 29 6
37 5 13
24 33 3
24 30 12
7 19 7
12 11 13
0 20 15
36 35 7
1 5 1
4 9 4
5 6 15
3 4 8
33 38 16
1 12 13
26 7 2
6 33 16
15 35 8
37 4 10
18 7 2
6 22 11
23 19 8
33 6 16
33 35 3
7 0 14
9 27 3
19 33 1
11 38 2
15 33 4
1 12 3
8 9 15
33 29 10
21 31 11
38 28 10
38 32 9
1 36 12
34 18 7
20 18 5
34 39 4
25 15 14
15 35 9
5 18 8
34 23 2
22 31 8
4 18 6
37 12 6
25 32 11
6 30 13
11 25 2
24 31 7
23 8 14
26 12 3
19 39 15
18 31 1
25 36 9
7 14 3
33 13 8
15 0 10
23 35 11
33 37 12
28 31 15
19 34 13
27 6 13
26 1 14
12 33 4
24 21 16
4 33 8
38 2 10
15 30 6
15 23 16
7 20 7
21 0 10
31 33 11
37 1 8
31 33 3
12 35 11
9 16 12
9 16 4
16 20 16
22 15 10
3 10 2
26 20 14
23 18 9
39 23 6
5 34 2
31 35 2
26 6 4
37 36 4
34 33 3
17 35 6
21 5 11
1 28 4
30 38 14
16 7 16
15 18 14
38 13 8
17 11 5
0 19 6
8 26 13
18 32 11
36 17 13
39 3 5
35 27 9
15 25 6
25 27 14
15 9 9
24 16 1
10 18 9
9 20 14
37 34 16
36 18 3
29 15 10
18 6 12
13 16 10
39 14 7
10 12 6
2 11 5
0 6 9
0 31 3
11 39 7
36 10 4
39 1 4
15 19 13
1 7 8
38 21 2
10 34 15
23 30 2
25 36 8
37 31 3
14 17 3
31 5 11
9 10 9
2 18 10
21 13 9
0 10 10
14 0 15
4 34 2
6 23 5
15 25 11
20 39 7
31 28 11
26 4 16
24 15 13
32 18 15
12 11 7
37 26 2
35 20 16
39 0 8
20 25 15
39 38 10
1 22 2
5 24 5
17 32 4
27 4 1
4 0 16
14 18 11
23 5 3
17 12 7
25 5 8
17 23 13
16 29 9
6 35 2
38 33 8
16 10 6
13 17 3
14 28 12
6 8 13
17 28 9
21 1 7
19 18 13
36 7 7
18 22 13
11 1 11
13 33 14
20 19 6
23 14 8
1 2 8
28 16 4
36 15 5
1 11 9
1 30 2
24 22 14
2 9 11
25 2 15
2 24 9
5 39 7
20 26 16
29 37 10
38 23 11
35 4 3
13 3 10
1 4 1
36 1 5
4 12 16
2 30 13
13 3 14
31 23 13
0 39 14
39 25 13
16 5 6
25 23 4
26 11 12
6 13 15
7 30 12
27 5 2
5 29 9
24 6 14
8 37 3
3 6 11
37 0 13
14 30 1
1 10 2
34 0 16
33 20 3
33 25 12
33 32 16
29 11 13
26 21 9
39 12 10
21 20 4
1 2 5
37 27 11
35 1 1
30 19 1
2 39 10
24 5 5
30 34 6
29 2 16
23 17 6
11 1 4
35 30 4
25 16 10
24 30 6
3 33 10
23 38 1
7 13 8
13 14 2
27 33 5
12 29 2
24 26 3
23 21 15
2 7 6
12 31 16
12 39 13
3 14 13
35 22 15
28 6 16
33 13 6
26 21 2
16 6 5
30 2 5
33 1 3
30 26 11
8 30 3
30 31 10
32 7 5
27 34 6
6 27 9
24 12 7
13 27 12
36 22 16
13 22 9
35 21 11
38 35 4
35 8 6
0 24 7
28 8 8
17 25 15
38 8 10
23 26 14
13 26 1
0 22 10
2 29 10
14 15 3
35 4 9
25 30 15
14 21 16
15 8 14
37 11 3
22 15 3
37 3 14
38 22 9
3 33 8
22 30 6
6 37 8
37 32 9
10 1 12
13 2 9
2 19 11
18 39 7
22 38 11
14 31 8
17 32 11
6 38 7
36 38 7
26 31 3
5 1 12
23 34 2
33 30 12
32 20 3
2 19 9
20 5 1
2 34 3
27 17 10
12 28 6
13 24 6
27 11 3
38 30 12
19 35 5
33 36 9
31 21 13
38 24 7
32 19 9
25 35 9
28 33 15
30 9 11
32 3 9
34 5 3
26 31 10
4 20 10
28 8 6
18 21 1
0 3 8
18 34 16
18 33 4
1 18 1
18 24 10
18 0 11
19 17 7
10 24 13
38 6 6
16 13 15
30 15 11
6 33 16
27 3 9
5 12 10
12 29 14
14 12 2
23 27 8
5 31 9
9 1 8
30 22 8
32 37 10
30 21 15
4 2 7
6 14 6
23 20 8
8 18 16
31 13 8
19 12 15
15 39 1
37 17 6
16 15 7
15 24 10
17 4 15
39 31 11
28 34 8
20 5 2
9 25 4
26 37 15
9 14 13
26 23 13
29 23 14
21 14 4
36 32 11
38 29 4
2 39 13
12 6 13
14 2 13
14 20 15
3 5 1
28 4 2
31 4 8
18 26 4
1 35 4
4 5 2
31 5 2
27 6 4
23 16 2
17 37 11
18 35 11
9 3 6
6 33 10
23 0 6
17 19 14
24 7 2
1 21 6
30 23 6
19 20 16
35 37 12
21 29 14
35 6 4
16 9 6
35 10 2
0 17 12
25 15 9
0 23 4
23 4 7
22 2 10
9 27 10
14 25 16
0 34 14
1 5 7
12 4 3
24 4 10
30 25 14
27 17 13
11 31 2
4 39 10
4 38 2
30 31 15
7 36 8
19 27 2
33 0 4
13 39 11
29 15 4
36 13 2
10 23 11
3 17 5
6 23 14
39 30 3
33 39 8
30 12 13
13 10 12
5 12 14
7 9 8
3 36 13
18 17 14
35 2 9
18 22 13
10 21 3
36 27 15
28 37 1
16 9 10
6 22 16
24 19 1
21 9 2
17 1 2
8 34 12
5 9 13
3 15 9
28 26 1
33 4 3
18 32 13
29 28 2
27 0 9
7 35 7
6 0 3
21 31 3
20 33 14
9 2 11
20 16 12
37 16 16
20 24 3
32 27 15
19 11 5
32 6 14
23 10 2
21 24 3
34 31 2
2 37 16
29 30 3
13 22 4
22 0 13
14 15 4
24 1 11
27 28 14
26 14 10
6 3 6
17 27 4
10 31 11
7 26 4
18 1 6
19 26 9
6 16 14
15 21 11
35 12 15
12 8 10
21 25 16
31 9 11
3 17 1
7 14 3
15 4 4
28 25 12
3 15 8
12 26 5
14 19 7
32 36 4
21 30 13
2 27 8
18 19 2
26 0 3
22 4 3
26 35 4
5 4 1
15 7 16
1 9 12
28 10 2
11 15 15
35 16 4
16 0 13
7 8 2
2 30 12
8 21 15
21 10 14
16 4 14
27 23 9
31 6 14
37 27 7
0 12 3
34 28 5
3 1 8
39 27 8
0 26 4
22 6 1
4 9 5
27 32 15
2 11 15
28 36 13
20 4 4
11 30 13
6 19 16
10 16 12
37 12 8
33 5 8
39 1 4
17 19 2
23 14 11
1 18 5
37 15 1
18 27 10
8 28 14
5 2 15
28 39 3
8 4 2
32 31 2
7 1 7
16 13 7
8 24 5
21 11 16
11 31 9
24 11 15
3 31 9
27 20 4
10 30 5
17 8 15
31 2 14
6 2 6
18 28 2
9 17 11
20 9 3
27 34 6
7 35 12
13 8 1
18 35 15
35 36 2
10 32 14
26 22 9
23 10 13
21 2 10
16 3 7
21 14 5
19 35 10
15 35 16
23 13 14
23 6 10
3 29 7
25 5 11
10 0 3
9 35 15
33 22 11
39 7 16
37 30 9
5 27 1
23 36 13
20 7 12
11 27 16
31 15 1
7 31 11
13 36 6
18 22 15
15 24 16
20 38 11
1 0 6
19 4 4
0 38 3
21 34 10
35 13 9
39 16 1
9 7 7
17 21 2
7 22 16
29 18 9
20 5 2
39 29 11
9 16 13
10 29 8
32 23 13
31 16 11
35 3 2
5 31 1
7 39 2
19 13 8
26 29 9
25 22 14
23 9 8
6 36 10
6 28 7
26 10 14
17 9 9
16 36 7
36 29 8
9 19 8
31 37 16
16 39 13
6 7 9
31 10 5
31 38 15
37 18 9
30 22 16
7 32 10
16 21 11
1 16 16
33 19 10
0 13 11
19 27 12
30 32 6
29 27 4
28 23 10
21 33 12
32 1 15
1 16 15
14 20 3
17 27 3
1 15 2
12 10 12
27 2 2
29 11 2
24 36 8
20 28 11
0 30 5
3 37 16
36 19 4
19 22 4
17 16 6
37 35 1
24 13 3
22 2 5
2 30 7
15 0 10
8 24 3
5 10 8
13 20 5
11 3 7
24 25 5
39 29 4
22 3 2
28 30 16
9 5 5
11 35 3
9 17 8
11 13 4
4 10 5
20 26 15
17 11 9
26 24 12
0 21 8
25 39 2
1 36 11
25 20 6
0 22 12
11 6 9
30 23 1
8 17 12
36 4 8
5 37 2
20 21 7
1 20 5
4 12 7
29 36 2
3 39 1
20 29 12
39 30 15
27 31 2
3 0 6
19 24 9
33 7 10
22 1 9
16 37 14
4 6 8
36 16 11
27 13 9
4 24 9
3 37 10
39 31 1
2 36 2
3 28 1
39 3 8
37 36 2
14 7 4
7 20 10
15 38 3
13 32 9
1 17 10
12 27 2
26 17 16
34 19 12
11 18 14
29 15 7
2 7 13
25 20 7
28 20 6
39 10 11
9 38 7
16 14 14
15 31 14
18 1 11
28 5 5
13 15 7
20 6 4
34 7 4
6 19 12
36 30 5
19 12 8
24 26 6
21 3 3
38 16 7
26 31 7
22 32 4
0 18 4
20 25 9
0 26 3
33 15 8
2 24 11
26 18 4
0 14 3
39 14 2
5 39 6
11 2 4
36 33 9
4 8 4
25 29 4
31 12 13
9 12 1
16 36 7
35 32 9
38 23 6
38 35 15
30 24 15
39 8 4
15 11 13
11 27 10
31 19 15
5 28 13
12 4 6
13 25 11
22 1 16
35 11 15
39 36 8
11 13 14
16 24 4
22 9 3
14 32 9
28 3 16
28 30 5
18 2 14
19 9 3
11 32 6
32 33 15
27 15 12
15 14 11
36 11 16
23 33 15
26 5 15
15 6 8
5 12 8
37 1 14
32 28 13
39 15 11
11 7 2
13 29 12
8 33 11
30 14 15
10 37 9
19 10 2
26 1 11
26 21 11
4 21 13
27 35 14
3 11 11
22 8 11
22 36 4
32 22 2
12 33 7
3 16 8
6 12 11
23 34 11
37 16 6
1 21 16
36 0 13
16 33 6
27 26 5
32 27 3
25 35 3
25 36 15
17 31 2
32 3 6
34 29 14
21 37 13
21 26 12
34 22 8
24 11 8
39 27 7
23 9 4
23 20 4
27 16 1
21 15 12
32 18 11
1 6 15
12 14 6
6 20 10
19 31 6
3 6 9
20 30 2
20 13 15
29 25 11
19 16 1
31 26 5
36 32 15
24 18 8
10 21 7
36 25 3
17 15 2
6 3 2
9 6 14
10 8 6
8 19 2
12 1 5
36 33 16
4 38 13
13 2 14
23 2 16
0 2 14
5 36 9
34 6 10
33 9 13
4 30 16
1 38 5
13 11 4
17 28 2
27 24 1
9 12 8
24 18 15
4 15 2
22 36 16
10 22 2
33 17 12
37 20 14
34 28 7
10 5 16
17 29 15
12 19 6
19 24 4
39 16 16
39 11 4
11 31 6
37 22 8
15 8 3
39 13 16
15 9 9
26 30 14
19 31 13
9 35 3
18 2 15
0 39 1
21 5 8
32 4 11
30 0 2
29 4 16
39 0 14
9 18 6
34 25 1
38 20 2
2 9 5
34 13 10
35 16 1
11 12 5
27 8 9
15 23 1
26 39 12
0 34 9
38 15 7
9 28 6
31 29 10
15 17 16
29 20 5
2 26 6
8 36 1
7 6 10
32 24 5
27 12 5
23 12 15
4 0 12
21 18 11
10 20 12
15 32 2
19 28 12
25 28 6
33 24 4
5 32 7
31 36 11
23 27 9
14 1 11
39 26 8
1 19 13
24 29 11
2 10 3
14 31 9
32 25 8
22 24 3
15 21 9
36 5 4
16 26 7
13 11 15
14 27 14
0 15 2
6 25 8
1 14 14
37 5 5
33 26 8
17 26 11
17 31 1
31 30 5
10 30 14
38 4 6
29 38 13
7 38 7
9 19 15
4 14 16
28 24 12
0 35 7
5 23 6
5 21 16
30 33 1
35 36 12
3 0 9
37 23 16
3 11 15
14 24 1
20 15 3
7 16 7
38 5 2
1 34 13
10 19 3
6 3 7
20 28 8
18 25 9
20 21 10
32 8 4
20 23 9
39 4 14
13 6 3
18 10 5
15 7 15
26 36 3
34 13 4
18 11 16
11 23 16
21 35 10
27 14 12
30 3 14
28 32 11
33 18 14
21 7 13
15 4 7
24 16 5
1 21 14
16 38 6
1 6 9
30 34 11
1 10 14
8 33 12
15 20 1
3 34 10
28 17 14
4 38 9
9 21 13
30 12 3
17 38 15
1 33 10
20 13 2
10 33 13
6 18 14
9 15 4
8 16 3
5 35 8
25 29 10
19 28 1
22 12 6
31 39 10
18 16 6
31 9 7
1 24 2
